LabelID;Spanish;English;Russian
Gyroid_14046;xilofoide;xylophoid;ксилофоид
Gyroid_14047;dulzoide;babbloid;лепетоид
Gyroid_14056;ladroide;arfoid;гавгавоид
Gyroid_14057;silboide;whistloid;свистоид
Gyroid_14058;puntoide;bwongoid;бумбоид
Gyroid_14059;rasgueoide;twangoid;струноид
Gyroid_14060;hablaseroide;laseroid;лазероид
Gyroid_14061;estrujónido;squeakoid;пищоид
Gyroid_14062;varítono;tockoid;колотоид
Gyroid_14063;monotoide;ringoid;диньдоноид
Gyroid_14064;oinkoide;oinkoid;хрюкоид
Gyroid_14065;sinusoide;tremoloid;завывоид
Gyroid_14066;mirlitoide;bubbloid;лепетоид
Gyroid_14067;clavicoina;petaloid;лепесткоид
Gyroid_14074;aluminoide;aluminoid;алюминоид
Gyroid_14075;acolchoida;wallopoid;выбивооид
Gyroid_14076;platoide;drummoid;ударноид
Gyroid_14077;bipoide;dootoid;пипоид
Gyroid_14078;zumbínida;whirroid;дребезоид
Gyroid_14080;flopoide;thwopoid;хлопоид
Gyroid_14081;tetracordia;rumbloid;бассоид
Gyroid_14082;arcoviol;bendoid;жужжоид
Gyroid_14083;bomboina;boomoid;барабаноид
Gyroid_14086;hidroide;bloopoid;каплоид
Gyroid_14087;muelloide;sproingoid;пружиноид
Gyroid_14088;arrugandia;crumploid;смятоид
Gyroid_14089;castañoide;clatteroid
Gyroid_14090;figaroide;brewstoid;брюстероид
Gyroid_14092;agitoide;scatteroid;потрясоид
Gyroid_14093;pinchoide;spikenoid;терноид
Gyroid_14094;gomicoida;squeezoid;скрипоид
Gyroid_14095;aletensoide;flutteroid;трепыхоид
Gyroid_14098;vibroide;boioingoid;маскоид
Gyroid_14099;reverberoide;stelloid;космоид
Gyroid_14100;cascabela;jingloid;бубенцоид
Gyroid_14101;cacharroide;rattloid;черепкоид
